airport_id,airport_name,iata,degree
3384,Nanchang Changbei International Airport,KHN,172
2305,Fukuoka Airport,FUK,170
210,Houari Boumediene Airport,ALG,170
2057,Bahrain International Airport,BAH,170
3942,Chubu Centrair International Airport,NGO,169
2988,Vnukovo International Airport,VKO,169
1739,Belgrade Nikola Tesla Airport,BEG,169
3387,Ningbo Lishe International Airport,NGB,168
3378,Lanzhou Zhongchuan Airport,LHW,168
1472,Diagoras Airport,RHO,168
304,Brussels South Charleroi Airport,CRL,168
3673,Austin Bergstrom International Airport,AUS,167
3626,Raleigh Durham International Airport,RDU,167
521,Newcastle Airport,NCL,165
337,Berlin-Schönefeld Airport,SXF,165
6347,Shijiazhuang Daguocun International Airport,SJW,164
3690,Nashville International Airport,BNA,164
1246,Valencia Airport,VLC,163
2287,New Chitose Airport,CTS,162
6392,Wenzhou Longwan International Airport,WNZ,162
1525,Il Caravaggio International Airport,BGY,162
2064,King Fahd International Airport,DMM,162
1273,Toulouse-Blagnac Airport,TLS,161
3486,Cleveland Hopkins International Airport,CLE,161
2372,Gimhae International Airport,PUS,160
2983,Tashkent International Airport,TAS,160
6341,Beijing Nanyuan Airport,NAY,160
517,Leeds Bradford Airport,LBA,160
3458,Kansas City International Airport,MCI,159
1561,Naples International Airport,NAP,158
3121,Macau International Airport,MFM,158
2650,Comodoro Arturo Merino Benítez International Airport,SCL,158
3389,Hefei Luogang International Airport,HFE,154
352,Hannover Airport,HAJ,152
1562,Pisa International Airport,PSA,152
3566,William P Hobby Airport,HOU,149
3988,Ministro Pistarini International Airport,EZE,149
1885,Juan Santamaria International Airport,SJO,149
3488,Cincinnati Northern Kentucky International Airport,CVG,148
3570,Pittsburgh International Airport,PIT,148
3076,Hazrat Shahjalal International Airport,DAC,148
1075,Menara Airport,RAK,145
1825,General Mariano Escobedo International Airport,MTY,145
1760,Punta Cana International Airport,PUJ,141
629,Luxembourg-Findel International Airport,LUX,140
3179,Phuket International Airport,HKT,138
3585,Indianapolis International Airport,IND,138
636,Bergen Airport Flesland,BGO,137
3621,San Antonio International Airport,SAT,136
585,Eindhoven Airport,EIN,135
3157,Don Mueang International Airport,DMK,134
1264,Bordeaux-Mérignac Airport,BOD,134
1084,Léopold Sédar Senghor International Airport,DKR,134
2908,Almaty Airport,ALA,134
1706,Adnan Menderes International Airport,ADB,133
2177,Beirut Rafic Hariri International Airport,BEY,133
1194,Sofia Airport,SOF,132
4085,Yinchuan Airport,nan,131
3928,Juanda International Airport,SUB,131
49,Edmonton International Airport,YEG,131
4380,Longjia Airport,CGQ,131
1953,Lynden Pindling International Airport,NAS,129
4033,Lijiang Airport,LJG,129
2264,Kaohsiung International Airport,KHH,129
4331,Mashhad International Airport,MHD,128
3759,John Glenn Columbus International Airport,CMH,128
503,London City Airport,LCY,128
3793,Southwest Florida International Airport,RSW,128
1216,Bilbao Airport,BIO,128
2442,Jorge Newbery Airpark,AEP,128
2922,Heydar Aliyev International Airport,GYD,128
1253,Sevilla Airport,SVQ,127
1512,Falcone–Borsellino Airport,PMO,126
