airport,outgoing_routes,incoming_routes,total_connectivity
ISB,58,59,117
DLM,57,59,116
LPL,58,58,116
SSA,58,58,116
VNO,58,58,116
KRK,57,57,114
SXM,58,56,114
VCP,57,57,114
MEM,58,54,112
UPG,56,56,112
YNT,56,56,112
LHE,56,55,111
OAK,54,57,111
CNF,55,55,110
CNS,56,54,110
MSQ,54,54,108
SMF,55,53,108
ACC,54,53,107
DYU,52,54,106
FLR,53,53,106
GOT,52,54,106
SVG,54,52,106
ESB,52,53,105
SAL,53,52,105
BKI,52,52,104
FNC,52,52,104
OLB,52,52,104
TSE,52,52,104
BDL,51,52,103
CFU,50,53,103
ABJ,50,52,102
ADL,51,51,102
POM,52,50,102
GDN,51,50,101
SJD,51,50,101
BRE,50,50,100
BRI,50,50,100
CIA,50,50,100
RGN,49,50,99
XNN,49,50,99
DLA,51,47,98
GRO,49,49,98
MED,39,59,98
CEB,49,48,97
SFB,49,48,97
SPU,49,48,97
CNX,48,47,95
NUE,48,47,95
TIP,48,47,95
YHZ,43,52,95
BLL,47,47,94
CGH,47,47,94
HHN,47,47,94
WUX,47,47,94
SDQ,45,48,93
DWC,48,44,92
LAD,46,46,92
PVR,47,45,92
JAX,46,45,91
KEF,45,46,91
KRR,46,45,91
AUA,44,46,90
CHQ,44,46,90
DRW,46,44,90
EVN,45,45,90
FRU,45,45,90
KGS,43,47,90
KJA,44,46,90
NBE,45,45,90
MBJ,45,44,89
YOW,45,44,89
JJN,44,44,88
KTM,44,44,88
PBI,44,44,88
HAV,45,42,87
CAG,43,43,86
CPT,44,42,86
CWB,43,43,86
POA,42,44,86
SNA,42,44,86
TRD,44,42,86
TRN,44,42,86
MLE,44,41,85
PFO,42,43,85
ZAG,42,43,85
ITM,42,42,84
OGG,42,42,84
PEN,42,42,84
TRV,42,42,84
ABQ,42,41,83
NAN,43,40,83
SDF,41,42,83
TIJ,42,41,83
ABZ,41,41,82
IKT,41,41,82
MRU,41,41,82
HBE,42,39,81
KRT,41,40,81
OKC,40,41,81
REP,42,39,81
YWG,41,40,81
COO,41,39,80
LIL,40,40,80
TSA,40,40,80
HRG,40,39,79
LEJ,40,39,79
AJA,39,39,78
GMP,39,39,78
KGL,40,38,78
SYZ,39,39,78
UIO,39,39,78
GUA,37,40,77
PPT,38,39,77
SSH,38,39,77
VRN,39,38,77
JER,38,38,76
NRN,38,38,76
RIC,38,38,76
TLL,38,38,76
TSF,38,38,76
DAL,39,36,75
SAH,37,38,75
CZX,37,37,74
ORF,36,38,74
RYG,37,37,74
TRF,37,37,74
DJE,37,36,73
KHV,37,36,73
BIA,36,36,72
BPN,36,36,72
CHC,34,38,72
REC,36,36,72
TIA,36,36,72
BHM,36,35,71
BUF,36,35,71
FOR,36,35,71
GYE,35,36,71
SWA,35,36,71
AMD,35,35,70
BEL,36,34,70
BFS,36,34,70
GUM,35,35,70
MAH,34,36,70
POS,35,35,70
SCQ,36,34,70
YKS,35,35,70
ANU,35,34,69
CHS,34,35,69
OMA,34,35,69
SXB,34,35,69
SZG,34,35,69
TBS,34,35,69
KIV,34,34,68
MYR,34,34,68
ORK,34,34,68
ORN,34,34,68
PNQ,33,35,68
DAR,35,32,67
DTM,33,34,67
EBB,34,33,67
LUN,34,33,67
CGB,33,33,66
DAD,33,33,66
LBD,33,33,66
LJU,33,33,66
OUA,33,33,66
RTM,33,33,66
SOU,33,33,66
STT,34,32,66
TFN,32,34,66
WRO,33,33,66
AZA,32,32,64
DAY,32,32,64
MAO,32,32,64
WLG,32,32,64
BJV,31,32,63
CUR,31,32,63
CWL,32,31,63
GAU,31,32,63
AHO,31,31,62
NYO,31,31,62
PIE,31,31,62
PLS,31,31,62
SDJ,31,31,62
TUS,31,31,62
TYS,31,31,62
CCJ,31,30,61
PNH,29,32,61
SDU,30,31,61
ALB,31,29,60
EBL,30,30,60
LXA,30,30,60
OSS,31,29,60
PEW,30,30,60
ROC,30,30,60
ABV,29,29,58
BAV,29,29,58
GOI,29,29,58
GSP,29,29,58
JOG,29,29,58
KIN,30,28,58
LIT,29,29,58
PTP,29,29,58
RMQ,29,29,58
SNN,29,29,58
SZB,29,29,58
YCU,29,29,58
YZF,30,28,58
BET,29,28,57
CLO,30,27,57
DSM,29,28,57
HRE,26,31,57
AGA,28,28,56
BZE,28,28,56
GRR,28,28,56
KTW,28,28,56
KZN,28,28,56
OOL,28,28,56
RNO,27,29,56
ROV,28,28,56
TPS,28,28,56
VLI,28,28,56
BKO,28,27,55
FIH,27,28,55
PVD,27,28,55
TUL,27,28,55
BMA,27,27,54
BTH,27,27,54
FAI,27,27,54
KBL,28,26,54
KUF,27,27,54
TNR,27,27,54
YQB,26,27,53
AER,26,26,52
KCH,26,26,52
MDE,26,26,52
SYR,26,26,52
TOS,26,26,52
TXN,26,26,52
VVO,26,26,52
WMI,26,26,52
ZAD,26,26,52
BZV,25,26,51
GCM,25,26,51
GSO,25,26,51
LPB,26,25,51
PSP,26,25,51
BEN,25,25,50
DSN,25,25,50
ONT,24,26,50
SUF,25,25,50
VTE,25,25,50
EXT,25,24,49
OME,25,24,49
AWZ,24,24,48
HIR,25,23,48
HMO,25,23,48
JHG,24,24,48
LBV,24,24,48
MPL,24,24,48
MYY,24,24,48
PAP,24,24,48
SKP,24,24,48
VVI,24,24,48
XNA,24,24,48
YIH,24,24,48
YRT,25,23,48
ELP,24,23,47
PDL,23,24,47
BGI,23,23,46
BWN,23,23,46
FDF,23,23,46
FMM,23,23,46
HPN,23,23,46
MVD,23,23,46
SAP,23,23,46
SAV,23,23,46
UFA,23,23,46
LIR,24,21,45
OTZ,22,23,45
TJM,22,23,45
ADE,23,21,44
BDS,22,22,44
CAK,22,22,44
DRS,22,22,44
FNA,22,22,44
IEV,22,22,44
KTN,22,22,44
MRV,22,22,44
GYN,21,22,43
MIG,22,21,43
XRY,22,21,43
YYT,22,21,43
BDO,21,21,42
BHD,21,21,42
CLJ,21,21,42
DUR,21,21,42
DYG,21,21,42
FLN,21,21,42
GSE,21,21,42
LIH,21,21,42
MDC,21,21,42
PIK,21,21,42
PNS,21,21,42
POZ,21,21,42
PRN,21,21,42
SCO,21,21,42
AAL,20,21,41
BOI,21,20,41
JRO,20,21,41
KOA,20,21,41
LFW,20,21,41
ULN,21,20,41
BHY,20,20,40
BTS,20,20,40
CEK,20,20,40
CLY,20,20,40
FAT,20,20,40
FKB,20,20,40
GOA,20,20,40
ICT,20,20,40
IFN,20,20,40
JIB,23,17,40
JNU,20,20,40
LEX,20,20,40
MHT,20,20,40
MJV,20,20,40
RUN,19,21,40
XUZ,20,20,40
MDT,20,19,39
PMV,20,19,39
REU,19,20,39
BND,19,19,38
BOH,19,19,38
GRZ,19,19,38
KUN,19,19,38
NSI,17,21,38
RAO,19,19,38
SDR,19,19,38
TNG,19,19,38
WDH,19,19,38
YZV,19,19,38
ZHA,19,19,38
ODS,18,19,37
UVF,19,18,37
WIL,19,18,37
ASU,18,18,36
BUR,18,18,36
CKY,18,18,36
FEZ,18,18,36
GCI,18,18,36
GOJ,18,18,36
HLD,18,18,36
HSV,18,18,36
JAN,18,18,36
JHB,18,18,36
KLO,18,18,36
KOJ,18,18,36
LEI,18,18,36
LGB,18,18,36
LKO,18,18,36
LYI,18,18,36
NDR,18,18,36
NTG,18,18,36
PKU,18,18,36
PNR,18,18,36
TGU,18,18,36
USM,18,18,36
VTZ,18,18,36
YFB,18,18,36
YIW,18,18,36
YTY,18,18,36
BOO,18,17,35
CID,17,18,35
DJJ,17,18,35
DOM,17,18,35
PGD,18,17,35
SID,20,15,35
ADA,17,17,34
BES,17,17,34
CAE,17,17,34
CGR,17,17,34
CJB,17,17,34
HIJ,17,17,34
JAI,17,17,34
KMQ,17,17,34
LGK,17,17,34
LWO,17,17,34
MPM,17,17,34
MSN,17,17,34
NGS,17,17,34
NIM,17,17,34
OMS,17,17,34
OVD,17,17,34
RAI,17,17,34
SRG,17,17,34
YNZ,17,17,34
YXL,18,16,34
CUU,16,17,33
EYW,16,17,33
ISP,17,16,33
KIH,16,17,33
MDL,17,16,33
UUS,16,17,33
YQR,16,17,33
ZTH,16,17,33
CGP,16,16,32
CHA,16,16,32
CIH,16,16,32
CUL,16,16,32
CZL,16,16,32
CZM,16,16,32
FWA,16,16,32
IDR,16,16,32
IXB,16,16,32
JDZ,16,16,32
JZH,16,16,32
KBV,16,16,32
KIJ,16,16,32
LOP,16,16,32
LYG,16,16,32
MMX,16,16,32
NAT,16,16,32
NUX,16,16,32
ROB,16,16,32
SJJ,16,16,32
TGD,16,16,32
TSV,16,16,32
VER,16,16,32
VIX,16,16,32
IXE,15,16,31
JTR,15,16,31
MIR,15,16,31
SLZ,16,15,31
ASB,15,15,30
BDA,15,15,30
CIF,15,15,30
DOK,15,15,30
DZA,15,15,30
FPO,15,15,30
GEG,15,15,30
KGD,15,15,30
MID,15,15,30
MLI,15,15,30
MZT,15,15,30
NAG,15,15,30
NOC,15,15,30
PIA,15,15,30
PUY,15,15,30
ROA,15,15,30
TBZ,15,15,30
TLH,15,15,30
UDI,15,15,30
WUS,15,15,30
YLW,15,15,30
YXE,15,15,30
YYR,15,15,30
ZYI,15,15,30
AHB,15,14,29
BDJ,15,14,29
BJX,14,15,29
GND,14,15,29
MGA,15,14,29
NSK,15,14,29
POP,16,13,29
SXR,14,15,29
AMQ,14,14,28
BGW,14,14,28
BIQ,14,14,28
BVC,12,16,28
DNK,14,14,28
DVO,14,14,28
ECN,14,14,28
FAR,14,14,28
FSC,14,14,28
HYN,14,14,28
ISG,14,14,28
KBR,14,14,28
LZH,14,14,28
MAR,14,14,28
MHH,14,14,28
NJC,14,14,28
RTB,15,13,28
SEN,14,14,28
SGC,14,14,28
SGF,14,14,28
SSG,14,14,28
TTN,14,14,28
UET,14,14,28
YNJ,14,14,28
YTZ,14,14,28
BJM,13,14,27
BTV,13,14,27
COS,13,14,27
EUG,14,13,27
PLM,14,13,27
RAR,14,13,27
STM,14,13,27
TLC,13,14,27
YQT,13,14,27
ABE,13,13,26
AES,13,13,26
AJU,13,13,26
BJL,13,13,26
CBR,13,13,26
CHO,13,13,26
COR,13,13,26
CRK,13,13,26
FDH,13,13,26
FNT,14,12,26
FSD,13,13,26
HSN,13,13,26
ILM,13,13,26
ISA,13,13,26
JMK,13,13,26
KHG,13,13,26
KOW,13,13,26
LPQ,13,13,26
LZO,13,13,26
MBA,14,12,26
MCZ,13,13,26
NOU,13,13,26
OKJ,13,13,26
RNS,13,13,26
SEZ,13,13,26
SRQ,13,13,26
TGO,13,13,26
TIF,13,13,26
TSR,13,13,26
VSA,13,13,26
XFN,13,13,26
YYJ,13,13,26
ANI,12,13,25
ELQ,12,13,25
LLW,12,13,25
PAT,12,13,25
PLU,13,12,25
RAB,13,12,25
YMM,12,13,25
YWK,13,12,25
ASP,11,13,24
AVL,12,12,24
BIL,12,12,24
BME,12,12,24
BMI,12,12,24
BOJ,12,12,24
BRN,12,12,24
CJS,12,12,24
CTG,12,12,24
EIS,12,12,24
GNV,12,12,24
HAU,12,12,24
HIA,12,12,24
IAS,12,12,24
IGU,12,12,24
IXJ,12,12,24
JUB,12,12,24
LCG,12,12,24
MGQ,10,14,24
MRA,12,12,24
MUX,12,12,24
MYJ,12,12,24
NMA,12,12,24
TMP,12,12,24
UKB,12,12,24
UYN,12,12,24
VRA,13,11,24
WXN,12,12,24
ZNZ,11,13,24
LDB,11,12,23
LNZ,12,11,23
NKC,12,11,23
SKT,11,12,23
SUV,12,11,23
ADZ,11,11,22
ANF,11,11,22
BLA,11,11,22
CEI,11,11,22
CUZ,11,11,22
DAT,11,11,22
EGC,11,11,22
EGO,11,11,22
EOH,11,11,22
FMO,11,11,22
FUG,11,11,22
HGU,10,12,22
HTA,11,11,22
IOM,11,11,22
IXZ,11,11,22
JPA,11,11,22
KMI,11,11,22
KOI,11,11,22
KRS,11,11,22
LAE,11,11,22
LIG,11,11,22
MAB,12,10,22
MLH,11,11,22
NZH,11,11,22
PAD,11,11,22
PVK,11,11,22
PZO,11,11,22
RBA,11,11,22
RIY,12,10,22
RPR,12,10,22
RZE,11,11,22
SBN,11,11,22
SKB,11,11,22
SON,11,11,22
SPR,11,11,22
STI,11,11,22
TER,10,12,22
THE,11,11,22
TIV,11,11,22
TRS,11,11,22
UUD,11,11,22
VGO,11,11,22
ZAH,11,11,22
BPS,11,10,21
CIT,10,11,21
CRW,6,15,21
INV,11,10,21
IXR,11,10,21
KOE,10,11,21
MDZ,10,11,21
NJF,11,10,21
SBH,11,10,21
SLU,11,10,21
VPS,10,11,21
ACY,10,10,20
ALF,10,10,20
AOI,10,10,20
AQP,10,10,20
BAQ,10,10,20
BLI,10,10,20
CCF,10,10,20
FBM,10,10,20
FSZ,10,10,20
GUW,10,10,20
HAH,10,10,20
HKD,10,10,20
HMI,10,10,20
HOG,11,9,20
ILO,10,10,20
ISU,10,10,20
JMU,10,10,20
JNG,10,10,20
KLX,10,10,20
KRL,10,10,20
LAP,10,10,20
LRH,10,10,20
LRM,10,10,20
LXR,10,10,20
MDG,10,10,20
MGF,10,10,20
MJT,10,10,20
MLM,10,10,20
MRY,10,10,20
NLA,10,10,20
NWI,10,10,20
OUD,10,10,20
PBM,10,10,20
PMC,10,10,20
PWM,2,18,20
RAS,10,10,20
SFA,10,10,20
SPN,10,10,20
TRC,10,10,20
TZX,10,10,20
UNK,8,12,20
VLN,10,10,20
VNS,10,10,20
VOG,10,10,20
YBP,10,10,20
YQM,10,10,20
YXS,10,10,20
AMA,10,9,19
AVP,9,10,19
CBB,8,11,19
HRK,10,9,19
IQQ,9,10,19
LBB,10,9,19
MST,10,9,19
NDJ,9,10,19
ROR,10,9,19
YNB,9,10,19
YVP,10,9,19
AAE,9,9,18
AGU,9,9,18
APL,9,9,18
ARH,9,9,18
ATQ,9,9,18
ATW,9,9,18
BLK,9,9,18
BON,10,8,18
BZR,9,9,18
CFE,9,9,18
CJJ,9,9,18
DAX,9,9,18
DSA,9,9,18
EVE,9,9,18
EVV,9,9,18
FMN,9,9,18
GBE,9,9,18
GGT,10,8,18
GOH,9,9,18
GPT,9,9,18
GRX,9,9,18
GZT,9,9,18
HBA,9,9,18
HMB,9,9,18
HTY,9,9,18
IMF,9,9,18
IOS,9,9,18
IXC,9,9,18
JGS,9,9,18
KMJ,9,9,18
LYA,9,9,18
MFR,9,9,18
MOB,9,9,18
OIT,9,9,18
PAC,10,8,18
PHF,9,9,18
PLZ,9,9,18
PPS,9,9,18
PSR,9,9,18
PVH,9,9,18
SBW,9,9,18
SCN,9,9,18
SCW,9,9,18
SMI,9,9,18
SNU,9,9,18
STX,9,9,18
TOY,9,9,18
TRZ,9,9,18
TUU,9,9,18
VAR,9,9,18
ZIH,9,9,18
ACA,8,9,17
ADQ,11,6,17
BBI,9,8,17
GEA,8,9,17
LGG,9,8,17
MAF,8,9,17
MJZ,9,8,17
NEV,8,9,17
TZA,9,8,17
ZQN,7,10,17
AAR,8,8,16
ASF,8,8,16
AXT,8,8,16
BFJ,8,8,16
BGR,8,8,16
BSR,8,8,16
BTR,8,8,16
BZN,8,8,16
CGD,8,8,16
CIY,8,8,16
ELH,8,8,16
FAY,8,8,16
GEO,8,8,16
GJT,8,8,16
GRB,8,8,16
GSM,8,8,16
GWT,8,8,16
GYS,8,8,16
HEH,7,9,16
HFT,7,9,16
HMA,8,8,16
INN,8,8,16
IXA,8,8,16
IXM,8,8,16
KNX,8,8,16
KUT,8,8,16
LAN,8,8,16
LST,8,8,16
MAG,8,8,16
NDG,8,8,16
NNY,8,8,16
NTL,8,8,16
NYM,8,8,16
PHC,8,8,16
PHE,8,8,16
PIR,8,8,16
POL,8,8,16
PSC,8,8,16
QSF,8,8,16
RAP,8,8,16
RDM,8,8,16
REX,8,8,16
SBA,8,8,16
SFJ,8,8,16
SHV,8,8,16
SJP,8,8,16
SLP,8,8,16
SLY,8,8,16
SOC,8,8,16
SOQ,8,8,16
SPC,8,8,16
TAK,8,8,16
TDD,8,8,16
TGZ,8,8,16
TJA,8,8,16
TKU,8,8,16
TTE,8,8,16
UKK,8,8,16
UME,8,8,16
VBY,8,8,16
VOZ,8,8,16
VVC,8,8,16
WUA,8,8,16
YEV,8,8,16
YGJ,8,8,16
YRL,7,9,16
YYQ,8,8,16
YYY,8,8,16
ZAZ,8,8,16
ASM,7,8,15
ASR,7,8,15
BBO,7,8,15
HGA,7,8,15
HRL,7,8,15
KSU,7,8,15
LCE,8,7,15
PLW,8,7,15
REN,8,7,15
SKD,8,7,15
UGC,7,8,15
VXO,7,8,15
YDF,7,8,15
AGS,7,7,14
AKJ,7,7,14
AKN,7,7,14
AKX,7,7,14
AQG,7,7,14
AZD,7,7,14
BEW,7,7,14
BHO,6,8,14
BMV,7,7,14
BRC,7,7,14
BTU,7,7,14
CAY,7,7,14
CCC,6,8,14
CEE,7,7,14
CGY,7,7,14
CRD,6,8,14
CXR,7,7,14
DGA,7,7,14
DIG,7,7,14
DIY,7,7,14
DLU,7,7,14
DNH,7,7,14
ECP,7,7,14
FEG,7,7,14
GAL,7,7,14
GTF,7,7,14
HLH,7,7,14
HTI,7,7,14
IMP,7,7,14
IQT,7,7,14
IXS,7,7,14
JGN,7,7,14
JIQ,7,7,14
JUH,7,7,14
KAN,7,7,14
KGF,7,7,14
KLU,7,7,14
KTA,7,7,14
LSC,7,7,14
LVI,7,7,14
MGM,7,7,14
MKW,7,7,14
MKY,7,7,14
MMK,7,7,14
MOL,7,7,14
MSO,7,7,14
MUB,7,7,14
NBC,7,7,14
NVT,7,7,14
OAJ,7,7,14
OXB,7,7,14
PBC,7,7,14
PBG,7,7,14
PDG,7,7,14
PGK,7,7,14
PIS,7,7,14
PKN,7,7,14
PMW,7,7,14
QRO,7,7,14
RJK,7,7,14
ROS,7,7,14
SHP,7,7,14
SIP,7,7,14
SLL,7,7,14
SRZ,7,7,14
SZZ,7,7,14
TAI,7,7,14
TAM,7,7,14
TET,7,7,14
TGG,7,7,14
TRI,7,7,14
TRK,7,7,14
TWU,7,7,14
UDR,7,7,14
VDS,7,7,14
VFA,7,7,14
VII,7,7,14
WEF,7,7,14
XIL,7,7,14
YEK,7,7,14
YGW,7,7,14
YQQ,7,7,14
YVO,7,7,14
ZCL,7,7,14
ZLO,7,7,14
AOK,6,7,13
BHK,6,7,13
BRW,7,6,13
CJC,6,7,13
EFL,6,7,13
FYU,6,7,13
GRQ,6,7,13
HRI,7,6,13
JUL,7,6,13
KKN,7,6,13
NYU,7,6,13
PLJ,7,6,13
PUQ,7,6,13
TJU,7,6,13
TMM,7,6,13
YTH,6,7,13
ABD,6,6,12
ACK,6,6,12
ACX,6,6,12
AEX,6,6,12
AJL,6,6,12
ALS,6,6,12
ATZ,6,6,12
AXA,6,6,12
AZO,6,6,12
AZS,6,6,12
BCD,6,6,12
BFL,6,6,12
BIS,6,6,12
BJA,6,6,12
BOB,7,5,12
BRA,6,6,12
BUS,6,6,12
CUK,6,6,12
CYS,6,6,12
DIB,6,6,12
DJB,6,6,12
DOY,6,6,12
ELM,6,6,12
ERF,6,6,12
EZS,6,6,12
GBT,6,6,12
GDX,6,6,12
GEV,6,6,12
GIB,6,6,12
GIZ,6,6,12
GRK,6,6,12
GZP,6,6,12
HDG,6,6,12
HDY,6,6,12
HEA,6,6,12
HKN,6,6,12
HME,6,6,12
HOR,6,6,12
HTN,6,6,12
ILG,6,6,12
IQN,6,6,12
IXL,6,6,12
JDH,6,6,12
JIC,6,6,12
JIU,6,6,12
JKH,6,6,12
JKL,6,6,12
JUZ,6,6,12
JXA,6,6,12
KIR,6,6,12
KSH,6,6,12
KVA,6,6,12
LET,6,6,12
LFT,6,6,12
LLA,6,6,12
LRR,6,6,12
LRS,6,6,12
LUM,6,6,12
LUZ,6,6,12
MCG,6,6,12
MFE,6,6,12
MLU,6,6,12
MMB,6,6,12
MQL,6,6,12
MUR,6,6,12
MWX,6,6,12
MWZ,6,6,12
MZV,6,6,12
NAO,6,6,12
NKM,6,6,12
NQN,6,6,12
NQY,6,6,12
NVI,6,6,12
OAX,6,6,12
PAZ,6,6,12
PCL,6,6,12
PEE,6,6,12
PEI,6,6,12
PGA,6,6,12
PKC,6,6,12
PNK,6,6,12
PQQ,6,6,12
REG,6,6,12
RMF,6,6,12
SAF,6,6,12
SDK,6,6,12
SLA,6,6,12
SOW,6,6,12
SRE,6,6,12
SRY,6,6,12
STS,6,6,12
SWF,6,6,12
TAE,6,6,12
TLM,6,6,12
TPP,6,6,12
TVS,6,6,12
UIB,6,6,12
ULK,6,6,12
UTH,6,6,12
VDC,6,6,12
VPE,6,6,12
VQS,6,6,12
VXE,5,7,12
WBB,7,5,12
WJR,5,7,12
WWK,6,6,12
YBC,6,6,12
YBK,6,6,12
YBL,6,6,12
YCB,6,6,12
YCS,6,6,12
YIC,6,6,12
YKQ,6,6,12
YNA,6,6,12
YVQ,6,6,12
YXJ,6,6,12
YXU,6,6,12
ZAM,6,6,12
ZBR,6,6,12
ZGS,6,6,12
AKU,6,5,11
APW,5,6,11
AZR,6,5,11
BHV,5,6,11
BVE,5,6,11
CCP,6,5,11
ENY,5,6,11
GUR,6,5,11
KSC,6,5,11
OGX,5,6,11
REL,6,5,11
RGI,5,6,11
RGL,6,5,11
SCC,5,6,11
SCU,5,6,11
SKK,6,5,11
SKZ,6,5,11
TKG,5,6,11
TUK,6,5,11
YSB,6,5,11
YTS,5,6,11
YXN,5,6,11
YZS,6,5,11
ZQW,5,6,11
AOJ,5,5,10
AOR,5,5,10
BCV,5,5,10
BDQ,5,5,10
BGA,5,5,10
BKS,5,5,10
BLZ,5,5,10
BNK,5,5,10
BNN,5,5,10
BQS,5,5,10
BRM,5,5,10
BTJ,5,5,10
BUZ,5,5,10
CDB,5,5,10
CEN,5,5,10
CGA,5,5,10
CNJ,5,5,10
CRP,5,5,10
CUF,5,5,10
CWA,5,5,10
DAB,5,5,10
DDC,6,4,10
DDG,5,5,10
DED,5,5,10
DGO,5,5,10
DIE,5,5,10
DLI,5,5,10
DQA,5,5,10
DRO,5,5,10
DUD,4,6,10
EBA,5,5,10
EBU,5,5,10
ELS,5,5,10
ERZ,5,5,10
