airline,route_count
FR,2484
AA,2354
UA,2180
DL,1981
US,1960
CZ,1454
MU,1263
CA,1260
WN,1146
U2,1130
AF,1071
LH,923
AZ,877
IB,831
KL,830
ZH,815
AB,798
FL,726
AC,705
TK,656
DY,576
HU,555
BA,549
NH,547
AS,530
SK,504
TO,488
SU,473
4U,470
W6,462
QF,432
AM,431
B6,399
AD,397
AI,393
3U,392
JL,388
MF,386
VY,384
SV,380
G4,378
GS,358
WS,341
ET,337
MH,336
DE,334
JJ,333
G3,332
AY,328
SC,314
LS,302
UN,300
9W,292
KE,292
VA,290
LX,290
EK,289
AV,286
LA,285
S7,281
QR,278
BE,268
OZ,262
JT,251
GA,248
PC,242
NK,242
PK,242
AT,240
OS,240
HV,233
NZ,233
U6,232
AH,232
TP,229
EY,228
6E,227
X3,226
EI,226
7H,224
F9,222
A3,222
JD,214
CX,213
SQ,212
VN,211
WF,210
ZB,210
MS,205
SA,202
Y4,197
SG,196
VS,195
TG,193
FM,193
SN,190
IR,186
CM,184
5J,184
S2,180
AK,180
EP,179
IG,173
CI,172
JQ,163
UX,158
9C,155
AR,154
HY,151
TU,151
A5,150
FZ,148
HO,145
PR,144
KQ,142
TOM,139
TS,138
V7,136
G9,130
8L,130
PS,127
TCX,125
RJ,122
LO,120
BR,118
KC,118
4O,114
BT,112
OU,112
OK,111
HG,111
XY,110
OA,110
LG,110
SJ,106
BK,106
O6,104
VB,102
XQ,99
WY,98
KN,98
PX,97
VT,96
IY,96
KA,96
ST,96
G5,94
UL,93
MI,93
RO,92
GE,92
FD,92
NF,92
PN,90
HQ,88
ZL,88
AP,88
9K,86
KM,84
R3,83
CG,82
B2,82
S4,81
DV,80
V0,80
GL,80
EU,80
KU,79
GF,77
JU,77
G8,77
UR,76
TR,76
IX,76
9R,76
Y7,76
PG,75
MD,75
WT,75
LN,74
7F,74
8E,74
HA,74
W3,74
LY,73
7R,72
ZI,72
IOS,72
DT,71
3M,67
QS,67
FJ,66
VX,66
ME,65
5T,65
NL,64
BW,64
3H,64
NS,62
LI,62
W2,62
QZ,62
YC,62
ZK,61
IE,60
CU,59
BC,58
UP,58
Q6,58
QG,58
NX,56
FB,56
AE,56
J2,54
TM,54
FI,53
KY,52
MO,52
MJ,52
B7,50
9N,50
BV,49
HX,49
H2,49
EQ,48
QV,48
SZ,48
2Z,46
NT,46
DD,46
OD,46
B9,46
BG,46
9M,46
9E,46
7I,45
8U,44
3O,44
MK,43
TV,42
WU,42
PB,42
2B,42
VW,42
XK,42
TT,42
BU,41
2N,41
FY,40
WB,40
JP,40
8V,39
Z8,39
JV,39
K5,39
F7,38
VR,38
9U,38
WJ,38
SY,38
3K,36
YN,36
D7,36
8Q,36
4Y,36
GQ,36
BJ,36
K2,36
P6,36
TF,36
SW,35
8R,35
PD,34
VJ,34
NHG,34
GV,34
BM,34
QH,34
2P,34
SD,34
FO,34
YK,34
7J,34
BB,34
7C,33
TL,33
MM,32
8P,32
T3,32
FW,32
DN,32
KK,32
MY,32
SE,32
Z2,32
UJ,32
4H,32
CY,31
9V,31
PW,31
Q2,30
WX,30
L6,30
6R,30
J9,30
BI,30
Y8,30
3G,30
SS,30
W9,29
5C,29
BX,28
JY,28
GK,28
SP,28
OB,28
TX,28
KS,28
YI,27
4W,27
7P,27
XU,26
R7,26
3L,26
LJ,26
HD,26
B5,26
YM,26
OV,26
QC,25
IL,25
HF,25
WM,25
JH,24
BP,24
OR,24
LR,24
T7,24
SX,24
TZ,24
W5,24
Q9,24
UU,24
UG,24
3S,24
KX,23
A4,23
TY,23
Y9,23
SB,22
FG,22
ZE,22
K6,22
6T,22
KR,22
NU,22
DG,22
2J,22
5N,22
MR,21
P4,21
2G,21
DC,20
LM,20
PY,20
Z6,20
UO,20
KB,20
GR,20
SI,20
4G,20
3R,20
IZ,20
RX,20
I6,20
M4,19
MW,19
A9,18
PZ,18
BL,18
5Q,18
J3,18
P0,18
HS,18
M5,18
FE,18
EG,18
5H,18
D2,18
2I,18
JE,18
YT,18
K3,17
FS,17
TN,17
HZ,17
RZ,17
PM,16
PL,16
NP,16
RI,16
DX,16
TW,16
ID,16
QN,16
T5,16
LC,16
UE,16
U7,16
P9,16
P2,15
J5,15
S5,15
Q7,14
MN,14
XL,14
F2,14
QL,14
YJ,14
2L,14
YQ,14
4Q,14
TA,14
Q8,14
TJ,14
W4,14
4N,13
GZ,13
CC,13
DH,13
LT,12
UM,12
M6,12
6L,12
QB,12
3F,12
EN,12
6H,12
4T,12
2K,12
EO,12
8M,12
VH,12
8B,12
Z3,12
OM,12
E2,12
TE,11
RG,10
PI,10
Z4,10
8T,10
HW,10
CN,10
A2,10
LW,10
WW,10
V9,10
E5,10
3E,10
4M,10
NY,10
2O,10
P1,10
6W,10
SH,10
CE,10
HM,10
JA,10
R2,9
5U,9
RC,9
RL,9
Z9,8
RA,8
K8,8
8D,8
VQ,8
7S,8
ZD,8
BH,8
EF,8
JN,8
7M,8
JS,8
J4,8
ON,8
OJ,8
C8,8
JW,8
I8,8
O4,8
OC,8
S9,8
5Z,7
3P,6
V3,6
S6,6
WP,6
E8,6
HK,6
D3,6
S3,6
HN,6
PQ,6
AW,6
PV,6
OX,6
7G,6
8I,6
XV,6
M3,6
PJ,6
EL,6
M9,6
VF,6
RQ,5
FV,5
F5,5
EB,5
4E,5
3J,5
DZ,4
ZM,4
5P,4
E9,4
A8,4
LF,4
X4,4
N3,4
J8,4
YO,4
9Q,4
OY,4
BF,4
LV,4
QU,4
I9,4
UY,4
Y5,4
E7,4
