country,airport_count,average_latitude,average_longitude
United States,2708,40.336511458938965,-98.82138265985228
Germany,820,51.43361988131016,9.914916608743562
Canada,640,51.27001111129307,-93.107159027643
France,454,47.3873970590708,2.531606489843242
Australia,445,-27.358816140985947,139.59190647436517
Russia,427,56.70124799962202,71.91454398520493
China,418,33.65269459601513,112.22669882563088
United Kingdom,371,52.556916557712476,-2.659058200639151
Brazil,288,-15.373429792049611,-50.21107780064484
Japan,247,34.77837450147466,135.54396065251643
India,223,22.743047323851545,79.84736831342147
Indonesia,189,-2.1048611073933996,114.89240667406851
Sweden,183,60.02371761035224,16.52538887731851
Italy,178,43.51064054559353,11.606566155631851
Spain,145,39.37880782045655,-3.2682132811504423
South Africa,121,-27.770581121357715,26.519968141097717
Netherlands,117,52.12545356106682,5.154380462307628
Taiwan,113,24.096928800583502,120.89284321515245
Switzerland,109,46.97843351363076,8.179555616677371
Argentina,108,-36.33595217752962,-64.11953932362871
Mexico,104,22.49829260849881,-101.18164057714891
Finland,97,62.27595600256471,24.963198242497214
Norway,95,63.97081574682312,11.547025848817489
New Zealand,89,-40.00558981835277,162.77333196166197
Turkey,84,39.12876163571277,33.69608998672051
Iran,84,32.198829513171944,52.73001256477675
Denmark,83,55.13520823128044,10.223241050242953
Colombia,81,5.3545292839506144,-74.55396603703706
Maldives,80,6.4585284974403745,69.49228808666983
Greece,80,37.97170406066134,23.936228385595598
Philippines,77,11.727967863864338,122.7285360589266
Poland,74,52.52205590706719,18.65444662500471
Thailand,73,13.020297514062896,100.47309493053282
South Korea,71,36.88761783446507,128.38962566439338
Belgium,70,50.847227219690595,4.48798621788364
Papua New Guinea,68,-6.8045297588185525,146.28369027778643
Kenya,66,-0.45933949944412744,34.85320389142358
Greenland,64,68.3225480798948,-50.051119527482115
Austria,63,47.63843271642245,14.624387028060971
Venezuela,61,8.916300543544306,-66.98684101200514
Portugal,61,38.90995076345337,-11.631679770664494
Ukraine,54,48.45904717606087,31.66125996779995
Pakistan,54,30.02515495440775,69.94033724273136
Peru,52,-10.435125017427048,-74.7931975846881
Chile,52,-35.412619730458765,-72.4667982929734
Malaysia,49,4.244983443754175,106.67133077030653
Algeria,49,32.57447001079594,3.555061912123349
French Polynesia,49,-17.05759024182908,-145.14779188876355
